[START] Reading GenBank input...
[START] Loaded 1 record(s).
[RECORD] Processing record 1/1: 1
[CHANGED] standard_name=dnaA CDS | location=635-2054(+) | final_gene=dnaA | final_product=chromosomal replication initiator protein DnaA | resolution=no_change
[CHANGED] standard_name=translation initiation factor CDS | location=230785-231145(+) | final_gene=infC | final_product=translation initiation factor | resolution=uniprot_product_to_gene:infC:231,infB:201,infA:117,yciH:13,sui1:6
[UNRESOLVED] standard_name=HAD family hydrolase CDS | location=231389-232106(+) | final_gene=unknown_gene | final_product=HAD family hydrolase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=nucleoside 2-deoxyribosyltransferase CDS | location=232663-233182(+) | final_gene=unknown_gene | final_product=nucleoside 2-deoxyribosyltransferase | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=arsC CDS | location=233178-233595(-) | final_gene=arsC | final_product=Glutaredoxin arsenate reductase | resolution=no_change
[CHANGED] standard_name=arsC gene | location=233178-233595(-) | final_gene=arsC | final_product=arsC gene | resolution=no_change
[CHANGED] standard_name=arsB CDS | location=233654-234794(-) | final_gene=arsB | final_product=ACR3 family arsenite efflux transporter | resolution=no_change
[UNRESOLVED] standard_name=ArsR/SmtB family transcription factor CDS | location=235008-235344(-) | final_gene=unknown_gene | final_product=ArsR/SmtB family transcription factor | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=Uma2 family endonuclease CDS | location=235400-235988(-) | final_gene=unknown_gene | final_product=Uma2 family endonuclease | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=MarR family winged helix-turn-helix transcriptional regulator CDS | location=236174-236651(+) | final_gene=unknown_gene | final_product=MarR family winged helix-turn-helix transcriptional regulator | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=HlyD family secretion protein CDS | location=236778-238140(+) | final_gene=unknown_gene | final_product=HlyD family secretion protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DHA2 family efflux MFS transporter permease subunit CDS | location=238152-239739(+) | final_gene=unknown_gene | final_product=DHA2 family efflux MFS transporter permease subunit | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=cpoB 1 CDS | location=241060-243868(+) | final_gene=cpoB_1 | final_product=Cell division coordinator CpoB | resolution=no_change
[UNCHANGED] standard_name=rayT CDS | location=244255-244741(+) | final_gene=rayT | final_product=REP-associated tyrosine transposase | resolution=no_change
[UNRESOLVED] standard_name=helix-turn-helix domain-containing protein CDS | location=245268-245523(+) | final_gene=unknown_gene | final_product=helix-turn-helix domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=XisI protein CDS | location=245543-245876(+) | final_gene=unknown_gene | final_product=XisI protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=Uma2 family endonuclease CDS | location=245890-246598(-) | final_gene=unknown_gene | final_product=Uma2 family endonuclease | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=adenylate/guanylate cyclase domain-containing protein CDS | location=247083-248409(+) | final_gene=unknown_gene | final_product=adenylate/guanylate cyclase domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=transglutaminaseTgpA domain-containing protein CDS | location=248603-250898(+) | final_gene=unknown_gene | final_product=transglutaminaseTgpA domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=HAD family hydrolase CDS | location=251074-251836(+) | final_gene=unknown_gene | final_product=HAD family hydrolase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=tRNA-Ala gene | location=251826-251899(+) | final_gene=unknown_gene | final_product=tRNA-Ala gene | resolution=fallback_unknown_gene
[CHANGED] standard_name=ATP-grasp domain-containing protein CDS | location=251913-253257(-) | final_gene=mysC | final_product=ATP-grasp domain-containing protein | resolution=uniprot_product_to_gene:mysC:65
[UNRESOLVED] standard_name=type II secretion system F family protein CDS | location=254380-255640(-) | final_gene=unknown_gene | final_product=type II secretion system F family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=type IV pilus twitching motility protein PilT CDS | location=255852-256941(-) | final_gene=unknown_gene | final_product=type IV pilus twitching motility protein PilT | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=GspE/PulE family protein CDS | location=257222-259253(-) | final_gene=unknown_gene | final_product=GspE/PulE family protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=grpE CDS | location=259909-260644(+) | final_gene=grpE | final_product=Protein GrpE | resolution=no_change
[CHANGED] standard_name=grpE gene | location=259909-260644(+) | final_gene=grpE | final_product=grpE gene | resolution=no_change
[CHANGED] standard_name=dnaK CDS | location=261017-263312(+) | final_gene=dnaK | final_product=Chaperone protein DnaK | resolution=uniprot_product_to_gene:dnaK:665,dnaK3:43,dnaK2:38,dnaK1:18,dnaK4:5
[CHANGED] standard_name=dnaK gene | location=261017-263312(+) | final_gene=dnaK | final_product=dnaK gene | resolution=no_change
[CHANGED] standard_name=dnaJ 2 CDS | location=263531-264671(+) | final_gene=dnaJ | final_product=Chaperone protein DnaJ | resolution=uniprot_product_to_gene:dnaJ:935,dnaJ1:3,dnaJ2:3
[CHANGED] standard_name=dnaJ gene | location=263531-264671(+) | final_gene=dnaJ | final_product=dnaJ gene | resolution=no_change
[UNRESOLVED] standard_name=sulfurtransferase TusA family protein CDS | location=264695-264971(+) | final_gene=unknown_gene | final_product=sulfurtransferase TusA family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=rsgA CDS | location=264967-266053(+) | final_gene=rsgA | final_product=small ribosomal subunit biogenesis GTPase RsgA | resolution=no_change
[CHANGED] standard_name=pentapeptide repeat-containing protein CDS | location=266171-266891(-) | final_gene=unk5 | final_product=pentapeptide repeat-containing protein | resolution=uniprot_product_to_gene:unk5:15
[UNRESOLVED] standard_name=ArsR/SmtB family transcription factor CDS | location=266986-267382(-) | final_gene=unknown_gene | final_product=ArsR/SmtB family transcription factor | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=pyrH CDS | location=267653-268424(+) | final_gene=pyrH | final_product=Uridylate kinase | resolution=no_change
[CHANGED] standard_name=pyrH gene | location=267695-268424(+) | final_gene=pyrH | final_product=pyrH gene | resolution=no_change
[UNCHANGED] standard_name=frr CDS | location=268410-268962(+) | final_gene=frr | final_product=Ribosome-recycling factor | resolution=no_change
[CHANGED] standard_name=frr gene | location=268410-268962(+) | final_gene=frr | final_product=frr gene | resolution=no_change
[UNCHANGED] standard_name=bcp 1 CDS | location=269164-269644(+) | final_gene=bcp_1 | final_product=Putative peroxiredoxin bcp | resolution=no_change
[CHANGED] standard_name=bcp gene | location=269164-269644(+) | final_gene=bcp | final_product=bcp gene | resolution=no_change
[UNRESOLVED] standard_name=NUDIX hydrolase CDS | location=269660-270134(+) | final_gene=unknown_gene | final_product=NUDIX hydrolase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=alpha/beta fold hydrolase CDS | location=270084-270924(+) | final_gene=unknown_gene | final_product=alpha/beta fold hydrolase | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=larB CDS | location=270975-271788(+) | final_gene=larB | final_product=Pyridinium-3,5-biscarboxylic acid mononucleotidesynthase | resolution=no_change
[CHANGED] standard_name=larB gene | location=270993-271788(+) | final_gene=larB | final_product=larB gene | resolution=no_change
[UNRESOLVED] standard_name=MotA/TolQ/ExbB proton channel family protein CDS | location=273723-274398(-) | final_gene=unknown_gene | final_product=MotA/TolQ/ExbB proton channel family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=aroQ CDS | location=275276-275723(+) | final_gene=aroQ | final_product=type II 3-dehydroquinate dehydratase | resolution=no_change
[UNRESOLVED] standard_name=tRNA-Val gene | location=275783-275857(-) | final_gene=unknown_gene | final_product=tRNA-Val gene | resolution=fallback_unknown_gene
[CHANGED] standard_name=pentapeptide repeat-containing protein CDS | location=276051-276660(+) | final_gene=unk5 | final_product=pentapeptide repeat-containing protein | resolution=uniprot_product_to_gene:unk5:15
[UNRESOLVED] standard_name=glycosyltransferase family 2 protein CDS | location=276739-277684(-) | final_gene=unknown_gene | final_product=glycosyltransferase family 2 protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=metal-dependent hydrolase CDS | location=277995-278895(+) | final_gene=unknown_gene | final_product=metal-dependent hydrolase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=GFA family protein CDS | location=279106-279538(-) | final_gene=unknown_gene | final_product=GFA family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=type II toxin-antitoxin system VapC family toxin CDS | location=280113-280533(+) | final_gene=unknown_gene | final_product=type II toxin-antitoxin system VapC family toxin | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=hemL CDS | location=280927-282226(-) | final_gene=hemL | final_product=Glutamate-1-semialdehyde 2,1-aminomutase | resolution=no_change
[CHANGED] standard_name=hemL gene | location=280927-282226(-) | final_gene=hemL | final_product=hemL gene | resolution=no_change
[UNRESOLVED] standard_name=tRNA-Arg gene | location=282399-282473(+) | final_gene=unknown_gene | final_product=tRNA-Arg gene | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=GNAT family N-acetyltransferase CDS | location=282720-283230(+) | final_gene=unknown_gene | final_product=GNAT family N-acetyltransferase | resolution=fallback_unknown_gene
[CHANGED] standard_name=ATP-binding protein CDS | location=283377-285840(+) | final_gene=chlL | final_product=ATP-binding protein | resolution=uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
[CHANGED] standard_name=diguanylate cyclase CDS | location=286058-287078(+) | final_gene=dosC | final_product=diguanylate cyclase | resolution=uniprot_product_to_gene:dosC:3
[UNRESOLVED] standard_name=deoxyhypusine synthase family protein CDS | location=287281-288256(+) | final_gene=unknown_gene | final_product=deoxyhypusine synthase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=fasciclin domain-containing protein CDS | location=288550-288952(+) | final_gene=unknown_gene | final_product=fasciclin domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF928 domain-containing protein CDS | location=289660-290431(+) | final_gene=unknown_gene | final_product=DUF928 domain-containing protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=ppc CDS | location=291278-294398(+) | final_gene=ppc | final_product=Phosphoenolpyruvate carboxylase | resolution=no_change
[CHANGED] standard_name=ppc gene | location=291311-294398(+) | final_gene=ppc | final_product=ppc gene | resolution=no_change
[CHANGED] standard_name=grxC CDS | location=294591-294855(+) | final_gene=grxC | final_product=glutaredoxin 3 | resolution=no_change
[CHANGED] standard_name=CoA-binding protein CDS | location=294886-295804(-) | final_gene=yccU | final_product=CoA-binding protein | resolution=uniprot_product_to_gene:yccU:5
[CHANGED] standard_name=hpsL CDS | location=295890-297636(-) | final_gene=hpsL | final_product=hormogonium polysaccharide biosynthesis protein HpsL | resolution=no_change
[CHANGED] standard_name=tRNA-(ms[2]io[6]A)-hydroxylase CDS | location=297954-298578(+) | final_gene=miaE | final_product=tRNA-(ms[2]io[6]A)-hydroxylase | resolution=uniprot_product_to_gene:miaE:37
[CHANGED] standard_name=homoserine dehydrogenase CDS | location=299523-300816(+) | final_gene=hom | final_product=homoserine dehydrogenase | resolution=uniprot_product_to_gene:hom:80,thrA:75
[UNRESOLVED] standard_name=DUF4332 domain-containing protein CDS | location=300887-301319(-) | final_gene=unknown_gene | final_product=DUF4332 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=PAS domain-containing protein CDS | location=302438-306920(+) | final_gene=unknown_gene | final_product=PAS domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=cruF CDS | location=307262-308192(+) | final_gene=cruF | final_product=gamma-carotene 1'-hydroxylase CruF | resolution=no_change
[CHANGED] standard_name=cruG CDS | location=308516-309743(+) | final_gene=cruG | final_product=2'-O-glycosyltransferase CruG | resolution=no_change
[UNRESOLVED] standard_name=Hpt domain-containing protein CDS | location=309845-310811(+) | final_gene=unknown_gene | final_product=Hpt domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=translocation/assembly module TamB domain-containing protein CDS | location=311001-316272(-) | final_gene=unknown_gene | final_product=translocation/assembly module TamB domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=LysE family translocator CDS | location=316793-317411(+) | final_gene=unknown_gene | final_product=LysE family translocator | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=tyrosine-type recombinase/integrase CDS | location=317730-318654(+) | final_gene=unknown_gene | final_product=tyrosine-type recombinase/integrase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=2TM domain-containing protein CDS | location=321278-321518(-) | final_gene=unknown_gene | final_product=2TM domain-containing protein | resolution=fallback_unknown_gene
