standard_name	issue	gene_feature_gene	gene_feature_product	cds_feature_gene	cds_feature_product	final_gene	final_product	resolution
ABC transporter ATP-binding protein CDS	resolution				ABC transporter ATP-binding protein	cbiO	ABC transporter ATP-binding protein	uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
nitrate ABC transporter ATP-binding protein CDS	resolution				nitrate ABC transporter ATP-binding protein	nrtC	nitrate ABC transporter ATP-binding protein	uniprot_product_to_gene:nrtC:5
CmpA/NrtA family ABC transporter substrate-binding protein CDS	resolution				CmpA/NrtA family ABC transporter substrate-binding protein	unknown_gene	CmpA/NrtA family ABC transporter substrate-binding protein	fallback_unknown_gene
ferredoxin--nitrite reductase CDS	resolution				ferredoxin--nitrite reductase	nirA	ferredoxin--nitrite reductase	uniprot_product_to_gene:nirA:210,ftrV:5
iron uptake porin CDS	resolution				iron uptake porin	unknown_gene	iron uptake porin	fallback_unknown_gene
iron uptake porin CDS	resolution				iron uptake porin	unknown_gene	iron uptake porin	fallback_unknown_gene
ABC transporter ATP-binding protein CDS	resolution				ABC transporter ATP-binding protein	cbiO	ABC transporter ATP-binding protein	uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
ycf3 9 CDS	resolution			ycf3_9	Photosystem I assembly protein Ycf3	ycf3	Photosystem I assembly protein Ycf3	uniprot_product_to_gene:ycf3:895,ycf:55
ycf3 9 gene	resolution					unknown_gene	ycf3 9 gene	fallback_unknown_gene
DUF3084 domain-containing protein CDS	resolution				DUF3084 domain-containing protein	unknown_gene	DUF3084 domain-containing protein	fallback_unknown_gene
ntcA 2 CDS	resolution			ntcA_2	Global nitrogen regulator	ntcA	Global nitrogen regulator	uniprot_product_to_gene:ntcA:580
PHP domain-containing protein CDS	resolution				PHP domain-containing protein	unknown_gene	PHP domain-containing protein	fallback_unknown_gene
N-acetylmuramoyl-L-alanine amidase CDS	resolution				N-acetylmuramoyl-L-alanine amidase	amiA	N-acetylmuramoyl-L-alanine amidase	uniprot_product_to_gene:amiA:10
WecB/TagA/CpsF family glycosyltransferase CDS	resolution				WecB/TagA/CpsF family glycosyltransferase	unknown_gene	WecB/TagA/CpsF family glycosyltransferase	fallback_unknown_gene
glycosyltransferase family 2 protein CDS	resolution				glycosyltransferase family 2 protein	unknown_gene	glycosyltransferase family 2 protein	fallback_unknown_gene
NAD-dependent epimerase/dehydratase family protein CDS	resolution				NAD-dependent epimerase/dehydratase family protein	unknown_gene	NAD-dependent epimerase/dehydratase family protein	fallback_unknown_gene
segregation/condensation protein A CDS	resolution				segregation/condensation protein A	unknown_gene	segregation/condensation protein A	fallback_unknown_gene
tol-pal system YbgF family protein CDS	resolution				tol-pal system YbgF family protein	unknown_gene	tol-pal system YbgF family protein	fallback_unknown_gene
cell division protein FtsQ/DivIB CDS	resolution				cell division protein FtsQ/DivIB	unknown_gene	cell division protein FtsQ/DivIB	fallback_unknown_gene
P-loop NTPase fold protein CDS	resolution				P-loop NTPase fold protein	unknown_gene	P-loop NTPase fold protein	fallback_unknown_gene
AAA family ATPase CDS	resolution				AAA family ATPase	unknown_gene	AAA family ATPase	fallback_unknown_gene
pknD 6 CDS	resolution			pknD_6	Serine/threonine-protein kinase PknD	pknD	Serine/threonine-protein kinase PknD	uniprot_product_to_gene:pknD:5
pknD 6 gene	resolution					unknown_gene	pknD 6 gene	fallback_unknown_gene
AAA family ATPase CDS	resolution				AAA family ATPase	unknown_gene	AAA family ATPase	fallback_unknown_gene
phytoene synthase CDS	resolution				phytoene synthase	crtB	phytoene synthase	uniprot_product_to_gene:crtB:101,pys:33,psy:3
glutathione S-transferase family protein CDS	resolution				glutathione S-transferase family protein	unknown_gene	glutathione S-transferase family protein	fallback_unknown_gene
thioredoxin domain-containing protein CDS	resolution				thioredoxin domain-containing protein	unknown_gene	thioredoxin domain-containing protein	fallback_unknown_gene
TlyA family RNA methyltransferase CDS	resolution				TlyA family RNA methyltransferase	unknown_gene	TlyA family RNA methyltransferase	fallback_unknown_gene
extracellular solute-binding protein CDS	resolution				extracellular solute-binding protein	unknown_gene	extracellular solute-binding protein	fallback_unknown_gene
holo-ACP synthase CDS	resolution				holo-ACP synthase	acpS	holo-ACP synthase	uniprot_product_to_gene:acpS:43
PipX family protein CDS	resolution				PipX family protein	unknown_gene	PipX family protein	fallback_unknown_gene
YggS family pyridoxal phosphate-dependent enzyme CDS	resolution				YggS family pyridoxal phosphate-dependent enzyme	unknown_gene	YggS family pyridoxal phosphate-dependent enzyme	fallback_unknown_gene
cell division protein SepF CDS	resolution				cell division protein SepF	sepF	cell division protein SepF	uniprot_product_to_gene:sepF:990
M15 family metallopeptidase CDS	resolution				M15 family metallopeptidase	unknown_gene	M15 family metallopeptidase	fallback_unknown_gene
leucine-rich repeat domain-containing protein CDS	resolution				leucine-rich repeat domain-containing protein	unknown_gene	leucine-rich repeat domain-containing protein	fallback_unknown_gene
leucine-rich repeat domain-containing protein CDS	resolution				leucine-rich repeat domain-containing protein	unknown_gene	leucine-rich repeat domain-containing protein	fallback_unknown_gene
tRNA-Glu gene	resolution					unknown_gene	tRNA-Glu gene	fallback_unknown_gene
aspartate 1-decarboxylase CDS	resolution				aspartate 1-decarboxylase	panD	aspartate 1-decarboxylase	uniprot_product_to_gene:panD:945,panD2:28,panD1:3
tRNA-Lys gene	resolution					unknown_gene	tRNA-Lys gene	fallback_unknown_gene
glycosyltransferase family 2 protein CDS	resolution				glycosyltransferase family 2 protein	unknown_gene	glycosyltransferase family 2 protein	fallback_unknown_gene
pentapeptide repeat-containing protein CDS	resolution				pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
cyanophycinase CDS	resolution				cyanophycinase	cphB	cyanophycinase	uniprot_product_to_gene:cphB:90
tetratricopeptide repeat protein CDS	resolution				tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
trypsin-like peptidase domain-containing protein CDS	resolution				trypsin-like peptidase domain-containing protein	unknown_gene	trypsin-like peptidase domain-containing protein	fallback_unknown_gene
CPP1-like family protein CDS	resolution				CPP1-like family protein	unknown_gene	CPP1-like family protein	fallback_unknown_gene
response regulator transcription factor CDS	resolution				response regulator transcription factor	unknown_gene	response regulator transcription factor	fallback_unknown_gene
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
sensor histidine kinase CDS	resolution				sensor histidine kinase	sasA	sensor histidine kinase	uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
alpha-amylase CDS	resolution				alpha-amylase	amyS	alpha-amylase	uniprot_product_to_gene:amyS:45,amy:20,amyA:15,amyM:10,amy1:5
NAD(+) kinase CDS	resolution				NAD(+) kinase	ppnK	NAD(+) kinase	uniprot_product_to_gene:ppnK:10
phosphatidate cytidylyltransferase CDS	resolution				phosphatidate cytidylyltransferase	cdsA	phosphatidate cytidylyltransferase	uniprot_product_to_gene:cdsA:140
DUF697 domain-containing protein CDS	resolution				DUF697 domain-containing protein	unknown_gene	DUF697 domain-containing protein	fallback_unknown_gene
heavy metal-responsive transcriptional regulator CDS	resolution				heavy metal-responsive transcriptional regulator	zntR	heavy metal-responsive transcriptional regulator	uniprot_product_to_gene:zntR:5
glycosyltransferase family 2 protein CDS	resolution				glycosyltransferase family 2 protein	unknown_gene	glycosyltransferase family 2 protein	fallback_unknown_gene
Gfo/Idh/MocA family protein CDS	resolution				Gfo/Idh/MocA family protein	unknown_gene	Gfo/Idh/MocA family protein	fallback_unknown_gene
DUF6492 family protein CDS	resolution				DUF6492 family protein	unknown_gene	DUF6492 family protein	fallback_unknown_gene
O-antigen ligase family protein CDS	resolution				O-antigen ligase family protein	unknown_gene	O-antigen ligase family protein	fallback_unknown_gene
smc 3 CDS	resolution			smc_3	Chromosome partition protein Smc	smc	Chromosome partition protein Smc	uniprot_product_to_gene:smc:960
smc 3 gene	resolution					unknown_gene	smc 3 gene	fallback_unknown_gene
GGDEF domain-containing protein CDS	resolution				GGDEF domain-containing protein	unknown_gene	GGDEF domain-containing protein	fallback_unknown_gene
NAD(P)H-quinone oxidoreductase subunit 4 CDS	resolution				NAD(P)H-quinone oxidoreductase subunit 4	ndhD	NAD(P)H-quinone oxidoreductase subunit 4	uniprot_product_to_gene:ndhD:10,nuoM:5
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
D-Ala-D-Ala carboxypeptidase family metallohydrolase CDS	resolution				D-Ala-D-Ala carboxypeptidase family metallohydrolase	unknown_gene	D-Ala-D-Ala carboxypeptidase family metallohydrolase	fallback_unknown_gene
HAD family hydrolase CDS	resolution				HAD family hydrolase	unknown_gene	HAD family hydrolase	fallback_unknown_gene
DUF5615 family PIN-like protein CDS	resolution				DUF5615 family PIN-like protein	unknown_gene	DUF5615 family PIN-like protein	fallback_unknown_gene
DUF433 domain-containing protein Putative antitoxin VapB45 CDS	resolution				DUF433 domain-containing protein	unknown_gene	DUF433 domain-containing protein	fallback_unknown_gene
tRNA-Gly gene	resolution					unknown_gene	tRNA-Gly gene	fallback_unknown_gene
glycoside hydrolase family 9 protein CDS	resolution				glycoside hydrolase family 9 protein	unknown_gene	glycoside hydrolase family 9 protein	fallback_unknown_gene
polysaccharide biosynthesis C-terminal domain-containing protein CDS	resolution				polysaccharide biosynthesis C-terminal domain-containing protein	unknown_gene	polysaccharide biosynthesis C-terminal domain-containing protein	fallback_unknown_gene
M16 family metallopeptidase CDS	resolution				M16 family metallopeptidase	unknown_gene	M16 family metallopeptidase	fallback_unknown_gene
GTPase family protein CDS	resolution				GTPase family protein	unknown_gene	GTPase family protein	fallback_unknown_gene
DUF362 domain-containing protein CDS	resolution				DUF362 domain-containing protein	unknown_gene	DUF362 domain-containing protein	fallback_unknown_gene
DUF6636 domain-containing protein CDS	resolution				DUF6636 domain-containing protein	unknown_gene	DUF6636 domain-containing protein	fallback_unknown_gene
DUF3288 family protein CDS	resolution				DUF3288 family protein	unknown_gene	DUF3288 family protein	fallback_unknown_gene
phycobilisome rod-core linker polypeptide CDS	resolution				phycobilisome rod-core linker polypeptide	cpcG	phycobilisome rod-core linker polypeptide	uniprot_product_to_gene:cpcG:34,cpcG2:14,cpcG1:9,cpcG3:6,cpcG4:6
DUF6671 family protein CDS	resolution				DUF6671 family protein	unknown_gene	DUF6671 family protein	fallback_unknown_gene
Ca(2+)/H(+) antiporter CDS	resolution				Ca(2+)/H(+) antiporter	cax	Ca(2+)/H(+) antiporter	uniprot_product_to_gene:cax:495,yfkE:15,VCX:5,cax1:5
Ig-like domain-containing protein CDS	resolution				Ig-like domain-containing protein	unknown_gene	Ig-like domain-containing protein	fallback_unknown_gene
TIGR03943 family protein CDS	resolution				TIGR03943 family protein	unknown_gene	TIGR03943 family protein	fallback_unknown_gene
calcium-binding protein CDS	resolution				calcium-binding protein	unknown_gene	calcium-binding protein	fallback_unknown_gene
tRNA-Met gene	resolution					unknown_gene	tRNA-Met gene	fallback_unknown_gene
DNA polymerase III subunit gamma/tau CDS	resolution				DNA polymerase III subunit gamma/tau	dnaX	DNA polymerase III subunit gamma/tau	uniprot_product_to_gene:dnaX:980
DUF3536 domain-containing protein CDS	resolution				DUF3536 domain-containing protein	unknown_gene	DUF3536 domain-containing protein	fallback_unknown_gene
GNAT family N-acetyltransferase CDS	resolution				GNAT family N-acetyltransferase	unknown_gene	GNAT family N-acetyltransferase	fallback_unknown_gene
S-layer homology domain-containing protein CDS	resolution				S-layer homology domain-containing protein	unknown_gene	S-layer homology domain-containing protein	fallback_unknown_gene
M1 family aminopeptidase CDS	resolution				M1 family aminopeptidase	unknown_gene	M1 family aminopeptidase	fallback_unknown_gene
histone deacetylase family protein CDS	resolution				histone deacetylase family protein	unknown_gene	histone deacetylase family protein	fallback_unknown_gene
cupin domain-containing protein CDS	resolution				cupin domain-containing protein	unknown_gene	cupin domain-containing protein	fallback_unknown_gene
diguanylate cyclase CDS	resolution				diguanylate cyclase	dosC	diguanylate cyclase	uniprot_product_to_gene:dosC:3
tetratricopeptide repeat protein CDS	resolution				tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
plastocyanin/azurin family copper-binding protein CDS	resolution				plastocyanin/azurin family copper-binding protein	unknown_gene	plastocyanin/azurin family copper-binding protein	fallback_unknown_gene
quinone-dependent dihydroorotate dehydrogenase CDS	resolution				quinone-dependent dihydroorotate dehydrogenase	unknown_gene	quinone-dependent dihydroorotate dehydrogenase	fallback_unknown_gene
thioredoxin family protein CDS	resolution				thioredoxin family protein	trxA	thioredoxin family protein	uniprot_product_to_gene:trxA:5,txlA:5
NnrU family protein CDS	resolution				NnrU family protein	unknown_gene	NnrU family protein	fallback_unknown_gene
LysR family transcriptional regulator CDS	resolution				LysR family transcriptional regulator	unknown_gene	LysR family transcriptional regulator	fallback_unknown_gene
protein kinase CDS	resolution				protein kinase	spkB	protein kinase	uniprot_product_to_gene:spkB:24,cpsD:9,ywqD:6,pknA:3,prkC:3
NAD-dependent epimerase/dehydratase family protein CDS	resolution				NAD-dependent epimerase/dehydratase family protein	unknown_gene	NAD-dependent epimerase/dehydratase family protein	fallback_unknown_gene
peptidoglycan D,D-transpeptidase FtsI family protein CDS	resolution				peptidoglycan D,D-transpeptidase FtsI family protein	unknown_gene	peptidoglycan D,D-transpeptidase FtsI family protein	fallback_unknown_gene
fused MFS/spermidine synthase CDS	resolution				fused MFS/spermidine synthase	unknown_gene	fused MFS/spermidine synthase	fallback_unknown_gene
TRC40/GET3/ArsA family transport-energizing ATPase CDS	resolution				TRC40/GET3/ArsA family transport-energizing ATPase	unknown_gene	TRC40/GET3/ArsA family transport-energizing ATPase	fallback_unknown_gene
